org,file_,contributers,top,major,minor,defect_status
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-neutron/manifests/plugins/ovn.pp,3,0.5,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-designate/manifests/db/mysql.pp,5,0.42857142857142855,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-barbican/manifests/db/postgresql.pp,3,0.3333333333333333,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/db/mysql.pp,17,0.15,17,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-glance/tests/site.pp,7,0.25,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-purestorage-cinder/deployment_scripts/puppet/manifests/controller.pp,2,0.6666666666666666,2,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/rabbitmq.pp,7,0.25,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/vmware/compute_vmware.pp,4,0.25,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-external-zabbix/deployment_scripts/puppet/modules/plugin_zabbix/manifests/params/openstack.pp,4,0.25,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-lma-infrastructure-alerting/deployment_scripts/puppet/manifests/configure_default_route.pp,1,1.0,1,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-bigswitch/deployment_scripts/puppet/modules/bcf/manifests/params/openstack.pp,1,1.0,1,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-cisco-aci/deployment_scripts/puppet/modules/neutron/manifests/config_apic.pp,1,1.0,1,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/apache_api_proxy.pp,14,0.2,14,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-pacemaker/manifests/stonith.pp,6,0.2857142857142857,6,0,1
